Date,Shanghai
2019-08-30,2886.24
2019-09-02,2924.11
2019-09-03,2930.15
2019-09-04,2957.41
2019-09-05,2985.86
2019-09-06,2999.60
2019-09-09,3024.74
2019-09-10,3021.20
2019-09-11,3008.81
2019-09-12,3031.24
2019-09-16,3030.75
2019-09-17,2978.12
2019-09-18,2985.66
2019-09-19,2999.28
2019-09-20,3006.45
2019-09-23,2977.08
2019-09-24,2985.34
2019-09-25,2955.43
2019-09-26,2929.09
2019-09-27,2932.17
2019-09-30,2905.19
2019-10-08,2913.57
2019-10-09,2924.86
2019-10-10,2947.71
2019-10-11,2973.66
2019-10-14,3007.88
2019-10-15,2991.05
2019-10-16,2978.71
2019-10-17,2977.33
2019-10-18,2938.14
2019-10-21,2939.62
2019-10-22,2954.38
2019-10-23,2941.62
2019-10-24,2940.92
2019-10-25,2954.93
2019-10-28,2980.05
2019-10-29,2954.18
2019-10-30,2939.32
2019-10-31,2929.06
2019-11-01,2958.20
2019-11-04,2975.49
2019-11-05,2991.56
2019-11-06,2978.60
2019-11-07,2978.71
2019-11-08,2964.18
2019-11-11,2909.97
2019-11-12,2914.82
2019-11-13,2905.24
2019-11-14,2909.87
2019-11-15,2891.34
2019-11-18,2909.20
2019-11-19,2933.99
2019-11-20,2911.05
2019-11-21,2903.64
2019-11-22,2885.29
2019-11-25,2906.17
2019-11-26,2907.06
2019-11-27,2903.19
2019-11-28,2889.69
2019-11-29,2871.98
2019-12-02,2875.81
2019-12-03,2884.70
2019-12-04,2878.12
2019-12-05,2899.47
2019-12-06,2912.01
2019-12-09,2914.48
2019-12-10,2917.32
2019-12-11,2924.42
2019-12-12,2915.70
2019-12-13,2967.68
2019-12-16,2984.39
2019-12-17,3022.42
2019-12-18,3017.04
2019-12-19,3017.07
2019-12-20,3004.94
2019-12-23,2962.75
2019-12-24,2982.68
2019-12-25,2981.88
2019-12-26,3007.35
2019-12-27,3005.04
2019-12-30,3040.02
2019-12-31,3050.12
2020-01-02,3085.20
2020-01-03,3083.79
2020-01-06,3083.41
2020-01-07,3104.80
2020-01-08,3066.89
2020-01-09,3094.88
2020-01-10,3092.29
2020-01-13,3115.57
2020-01-14,3106.82
2020-01-15,3090.04
2020-01-16,3074.08
2020-01-17,3075.50
2020-01-20,3095.79
2020-01-21,3052.14
2020-01-22,3060.75
2020-01-23,2976.53
2020-02-03,2746.61
2020-02-04,2783.29
2020-02-05,2818.09
2020-02-06,2866.51
2020-02-07,2875.96
2020-02-10,2890.49
2020-02-11,2901.67
2020-02-12,2926.90
2020-02-13,2906.07
2020-02-14,2917.01
2020-02-17,2983.62
2020-02-18,2984.97
2020-02-19,2975.40
2020-02-20,3030.15
2020-02-21,3039.67
2020-02-24,3031.23
2020-02-25,3013.05
2020-02-26,2987.93
2020-02-27,2991.33
2020-02-28,2880.30
2020-03-02,2970.93
2020-03-03,2992.90
2020-03-04,3011.67
2020-03-05,3071.68
2020-03-06,3034.51
2020-03-09,2943.29
2020-03-10,2996.76
2020-03-11,2968.52
2020-03-12,2923.49
2020-03-13,2887.43
2020-03-16,2789.25
2020-03-17,2779.64
2020-03-18,2728.76
2020-03-19,2702.13
2020-03-20,2745.62
2020-03-23,2660.17
2020-03-24,2722.44
2020-03-25,2781.59
2020-03-26,2764.91
2020-03-27,2772.20
2020-03-30,2747.21
2020-03-31,2750.30
2020-04-01,2734.52
2020-04-02,2780.64
2020-04-03,2763.99
2020-04-07,2820.76
2020-04-08,2815.37
2020-04-09,2825.90
2020-04-10,2796.63
2020-04-13,2783.05
2020-04-14,2827.28
2020-04-15,2811.17
2020-04-16,2819.94
2020-04-17,2838.49
2020-04-20,2852.55
2020-04-21,2827.01
2020-04-22,2843.98
2020-04-23,2838.50
2020-04-24,2808.53
2020-04-27,2815.49
2020-04-28,2810.02
2020-04-29,2822.44
2020-04-30,2860.08
2020-05-06,2878.14
2020-05-07,2871.52
2020-05-08,2895.34
2020-05-11,2894.80
2020-05-12,2891.56
2020-05-13,2898.05
2020-05-14,2870.34
2020-05-15,2868.46
2020-05-18,2875.42
2020-05-19,2898.58
2020-05-20,2883.74
2020-05-21,2867.92
2020-05-22,2813.77
2020-05-25,2817.97
2020-05-26,2846.55
2020-05-27,2836.80
2020-05-28,2846.22
2020-05-29,2852.35
2020-06-01,2915.43
2020-06-02,2921.40
2020-06-03,2923.37
2020-06-04,2919.25
2020-06-05,2930.80
2020-06-08,2937.77
2020-06-09,2956.11
2020-06-10,2943.75
2020-06-11,2920.90
2020-06-12,2919.74
2020-06-15,2890.03
2020-06-16,2931.75
2020-06-17,2935.87
2020-06-18,2939.32
2020-06-19,2967.63
2020-06-22,2965.27
2020-06-23,2970.62
2020-06-24,2979.55
2020-06-29,2961.52
2020-06-30,2984.67
2020-07-01,3025.98
2020-07-02,3090.57
2020-07-03,3152.81
2020-07-06,3332.88
2020-07-07,3345.34
2020-07-08,3403.44
2020-07-09,3450.59
2020-07-10,3383.32
2020-07-13,3443.29
2020-07-14,3414.62
2020-07-15,3361.30
2020-07-16,3210.10
2020-07-17,3214.13
2020-07-20,3314.15
2020-07-21,3320.89
2020-07-22,3333.16
2020-07-23,3325.11
2020-07-24,3196.77
2020-07-27,3205.23
2020-07-28,3227.96
2020-07-29,3294.55
2020-07-30,3286.82
2020-07-31,3310.01
2020-08-03,3367.97
2020-08-04,3371.69
2020-08-05,3377.56
2020-08-06,3386.46
2020-08-07,3354.04
2020-08-10,3379.25
2020-08-11,3340.29
2020-08-12,3319.27
2020-08-13,3320.73
2020-08-14,3360.10
