Date,Close,Open,High,Low,Volue_K,Volume
2019-10-27,9529.60,9230.60,9773.20,9081.00,1.16,1160000.00
2019-10-28,9207.20,9530.10,9866.90,9202.50,1.04,1040000.00
2019-10-29,9411.30,9206.50,9531.30,9125.30,918.48,918480.00
2019-10-30,9157.90,9411.30,9411.30,9018.40,789.73,789730.00
2019-10-31,9152.60,9157.90,9378.90,8959.60,798.93,798930.00
2019-11-01,9230.10,9153.10,9270.40,9057.20,689.65,689650.00
2019-11-02,9300.60,9230.30,9356.70,9201.20,570.74,570740.00
2019-11-03,9198.30,9300.50,9359.10,9095.00,536.56,536560.00
2019-11-04,9396.40,9198.70,9500.40,9134.10,681.01,681010.00
2019-11-05,9310.80,9396.10,9452.70,9193.90,653.42,653420.00
2019-11-06,9338.90,9311.20,9424.60,9262.70,578.03,578030.00
2019-11-07,9223.50,9339.20,9367.00,9130.00,603.54,603540.00
2019-11-08,8778.20,9223.60,9254.80,8722.40,791.79,791790.00
2019-11-09,8804.50,8778.10,8877.50,8746.90,512.02,512020.00
2019-11-10,9036.80,8804.70,9092.90,8763.50,581.57,581570.00
2019-11-11,8736.90,9036.90,9066.40,8649.40,601.16,601160.00
2019-11-12,8812.60,8737.40,8841.20,8615.70,575.16,575160.00
2019-11-13,8783.10,8813.20,8829.70,8721.10,454.33,454330.00
2019-11-14,8661.20,8782.90,8799.80,8615.80,515.43,515430.00
2019-11-15,8476.30,8660.80,8761.80,8437.10,653.71,653710.00
2019-11-16,8497.30,8476.20,8532.80,8450.70,471.16,471160.00
2019-11-17,8509.80,8497.40,8631.70,8413.00,531.22,531220.00
2019-11-18,8208.40,8510.30,8516.30,8110.40,692.60,692600.00
2019-11-19,8145.70,8207.70,8245.60,8032.80,654.27,654270.00
2019-11-20,8099.30,8145.70,8223.00,8074.20,607.27,607270.00
2019-11-21,7627.90,8099.40,8129.60,7519.70,891.50,891500.00
2019-11-22,7272.50,7627.90,7700.90,6818.50,1.41,1410000.00
2019-11-23,7324.10,7271.60,7342.50,7093.70,783.18,783180.00
2019-11-24,6924.70,7325.00,7344.10,6894.90,904.50,904500.00
2019-11-25,7115.60,6924.70,7352.80,6534.80,1.29,1290000.00
2019-11-26,7162.80,7115.50,7329.50,7045.10,844.27,844270.00
2019-11-27,7510.60,7162.80,7636.90,6875.40,996.49,996490.00
2019-11-28,7426.70,7510.60,7639.50,7380.60,737.58,737580.00
2019-11-29,7742.70,7426.60,7825.30,7412.30,766.71,766710.00
2019-11-30,7546.60,7742.70,7787.70,7472.70,650.60,650600.00
2019-12-01,7396.40,7546.50,7546.50,7244.40,777.00,777000.00
2019-12-02,7298.20,7395.90,7433.80,7173.60,687.78,687780.00
2019-12-03,7291.80,7298.10,7389.40,7227.10,548.77,548770.00
2019-12-04,7204.40,7291.90,7702.20,7113.60,971.75,971750.00
2019-12-05,7399.20,7204.60,7476.30,7184.00,780.78,780780.00
2019-12-06,7530.80,7399.20,7552.10,7329.80,706.10,706100.00
2019-12-07,7510.90,7530.40,7595.70,7489.60,557.14,557140.00
2019-12-08,7524.40,7510.80,7576.40,7416.70,499.04,499040.00
2019-12-09,7355.80,7524.80,7626.00,7321.60,648.66,648660.00
2019-12-10,7235.70,7356.20,7400.30,7192.10,609.50,609500.00
2019-12-11,7208.00,7235.80,7284.40,7168.80,518.40,518400.00
2019-12-12,7208.00,7208.00,7272.40,7124.60,611.80,611800.00
2019-12-13,7255.20,7208.40,7288.00,7200.30,503.49,503490.00
2019-12-14,7080.80,7255.20,7267.40,7043.30,524.56,524560.00
2019-12-15,7128.50,7080.80,7175.80,7033.80,492.58,492580.00
2019-12-16,6903.50,7128.50,7153.10,6864.60,689.56,689560.00
2019-12-17,6613.30,6903.50,6943.50,6575.00,894.55,894550.00
2019-12-18,7276.00,6613.50,7387.70,6462.20,1.14,1140000.00
2019-12-19,7165.50,7276.40,7354.00,7039.30,778.72,778720.00
2019-12-20,7196.40,7165.50,7218.40,7107.70,627.04,627040.00
2019-12-21,7156.20,7196.40,7197.60,7129.60,468.74,468740.00
2019-12-22,7495.80,7156.30,7501.10,7142.00,677.94,677940.00
2019-12-23,7322.80,7496.20,7684.00,7276.20,952.16,952160.00
2019-12-24,7268.30,7322.40,7433.20,7185.70,785.54,785540.00
2019-12-25,7224.80,7268.30,7542.40,7150.90,625.41,625410.00
2019-12-26,7210.90,7225.00,7414.30,7177.30,795.09,795090.00
2019-12-27,7261.70,7210.80,7293.80,7128.50,718.07,718070.00
2019-12-28,7321.50,7261.90,7375.90,7256.50,610.96,610960.00
2019-12-29,7397.50,7321.60,7518.90,7303.00,611.69,611690.00
2019-12-30,7261.80,7397.50,7420.90,7244.10,606.11,606110.00
2019-12-31,7196.40,7261.50,7331.00,7167.40,586.60,586600.00
2020-01-01,7199.80,7196.40,7259.40,7180.00,420.28,420280.00
2020-01-02,6967.00,7199.70,7209.60,6901.40,632.78,632780.00
2020-01-03,7343.10,6967.10,7402.90,6884.10,936.29,936290.00
2020-01-04,7376.80,7345.10,7433.10,7291.40,523.91,523910.00
2020-01-05,7372.50,7376.80,7501.00,7345.60,628.14,628140.00
2020-01-06,7759.10,7372.60,7783.10,7366.70,786.75,786750.00
2020-01-07,8155.70,7759.10,8182.00,7754.10,1.01,1010000.00
2020-01-08,8059.60,8154.20,8436.40,7900.80,1.19,1190000.00
2020-01-09,7842.40,8060.00,8065.90,7779.20,786.50,786500.00
2020-01-10,8187.10,7842.50,8187.40,7697.70,1.05,1050000.00
2020-01-11,8024.10,8187.80,8262.90,8008.40,776.75,776750.00
2020-01-12,8187.60,8023.30,8189.90,7973.10,595.22,595220.00
2020-01-13,8111.40,8188.30,8196.70,8068.40,610.66,610660.00
2020-01-14,8829.20,8111.20,8898.70,8111.20,1.48,1480000.00
2020-01-15,8818.30,8827.90,8904.00,8615.50,1.17,1170000.00
2020-01-16,8726.90,8818.10,8850.00,8605.80,748.32,748320.00
2020-01-17,8913.10,8726.70,9005.10,8675.90,794.11,794110.00
2020-01-18,8916.30,8913.00,8982.30,8814.60,627.74,627740.00
2020-01-19,8706.20,8916.30,9183.70,8552.80,975.01,975010.00
2020-01-20,8641.90,8705.70,8740.10,8539.20,599.06,599060.00
2020-01-21,8732.60,8642.00,8770.30,8524.00,540.20,540200.00
2020-01-22,8678.50,8733.00,8805.40,8610.80,509.06,509060.00
2020-01-23,8405.10,8678.50,8687.30,8309.60,722.67,722670.00
2020-01-24,8439.90,8404.90,8522.00,8242.60,617.02,617020.00
2020-01-25,8341.60,8439.90,8447.60,8277.20,444.00,444000.00
2020-01-26,8607.80,8341.60,8607.80,8304.90,468.34,468340.00
2020-01-27,8866.60,8608.10,8983.10,8585.60,706.45,706450.00
2020-01-28,9377.30,8866.60,9389.50,8866.60,954.20,954200.00
2020-01-29,9298.90,9377.30,9428.70,9250.90,749.88,749880.00
2020-01-30,9507.30,9299.10,9569.00,9209.20,765.21,765210.00
2020-01-31,9349.10,9508.30,9525.00,9222.30,633.37,633370.00
2020-02-01,9381.60,9349.30,9458.80,9301.50,458.42,458420.00
2020-02-02,9334.90,9381.50,9465.40,9183.10,683.37,683370.00
2020-02-03,9296.60,9334.60,9582.80,9243.10,701.39,701390.00
2020-02-04,9193.90,9296.50,9347.50,9193.90,651.68,651680.00
2020-02-05,9611.80,9194.10,9726.80,9179.90,771.46,771460.00
2020-02-06,9772.00,9611.80,9854.90,9536.10,778.67,778670.00
2020-02-07,9818.60,9771.90,9872.50,9738.70,608.96,608960.00
2020-02-08,9895.50,9817.30,9931.20,9673.20,551.31,551310.00
2020-02-09,10151.50,9895.40,10157.10,9882.70,617.35,617350.00
2020-02-10,9854.10,10151.50,10181.70,9774.80,781.22,781220.00
2020-02-11,10229.50,9854.00,10314.10,9725.10,791.28,791280.00
2020-02-12,10317.70,10229.30,10435.60,10229.30,803.25,803250.00
2020-02-13,10235.10,10321.90,10482.60,10116.90,940.30,940300.00
2020-02-14,10333.00,10235.50,10372.40,10125.20,732.51,732510.00
2020-02-15,9907.70,10336.00,10369.80,9831.70,808.81,808810.00
2020-02-16,9932.30,9907.40,10056.40,9654.90,808.91,808910.00
2020-02-17,9701.40,9931.70,9951.50,9468.90,961.88,961880.00
2020-02-18,10158.40,9701.50,10230.10,9601.60,945.91,945910.00
2020-02-19,9609.40,10158.60,10230.90,9424.30,905.95,905950.00
2020-02-20,9602.40,9611.90,9681.40,9448.90,870.80,870800.00
2020-02-21,9684.50,9602.20,9747.10,9574.50,716.61,716610.00
2020-02-22,9655.70,9684.50,9706.50,9569.80,589.88,589880.00
2020-02-23,9942.70,9655.60,9965.60,9653.40,775.88,775880.00
2020-02-24,9662.70,9943.20,9981.00,9507.00,980.00,980000.00
